,LogisticRegression,RandomForestClassifier,AdaBoostClassifier,KNeighborsClassifier
only_country_train,0.7092465753424657,0.7090753424657534,0.7092465753424657,0.6285958904109589
only_country_test,0.7094455852156057,0.704312114989733,0.7094455852156057,0.6057494866529775
country_is_urban_train,0.7998858447488585,0.7998858447488585,0.7998858447488585,0.7827625570776255
country_is_urban_test,0.7833675564681725,0.7833675564681725,0.7833675564681725,0.7648870636550308
country_is_urban_lat_long_train,0.7903538812785388,0.9998287671232877,0.8176369863013698,0.8809360730593607
country_is_urban_lat_long_test,0.7813141683778234,0.8203285420944558,0.8080082135523614,0.813141683778234
only_lat_long_train,0.6756278538812786,0.9997716894977169,0.7299086757990868,0.8561643835616438
only_lat_long_test,0.6724845995893224,0.7946611909650924,0.7176591375770021,0.7905544147843943
country_lat_long_train,0.7172945205479452,0.9998858447488584,0.7434360730593608,0.85662100456621
country_lat_long_test,0.7197125256673511,0.813141683778234,0.7433264887063655,0.7936344969199178
