index,country,year,wealth_index,is_urban,households,latitude,longitude
benin_2012_00-0,benin,2012.0,-0.3438582122325897,1.0,22.0,11.379281044006348,2.439875364303589
benin_2012_00-1,benin,2012.0,0.7629324793815613,1.0,19.0,11.304136276245117,2.4219741821289062
benin_2012_00-2,benin,2012.0,-0.2223895937204361,0.0,22.0,11.56512451171875,2.535825729370117
benin_2012_00-3,benin,2012.0,-0.11978345364332199,0.0,22.0,11.475960731506348,2.535325050354004
benin_2012_00-4,benin,2012.0,-0.2130071520805359,0.0,23.0,11.368450164794922,2.465991497039795
benin_2012_00-5,benin,2012.0,-0.6070318222045898,0.0,23.0,11.191800117492676,2.2667789459228516
benin_2012_00-6,benin,2012.0,-0.4935833513736725,0.0,24.0,11.348793983459473,2.539808750152588
benin_2012_00-7,benin,2012.0,-0.5288729667663574,0.0,20.0,11.2221040725708,2.345517158508301
benin_2012_00-8,benin,2012.0,-0.281833678483963,0.0,24.0,11.32064437866211,2.536616802215576
benin_2012_00-9,benin,2012.0,-0.4806227684020996,0.0,22.0,11.3330717086792,2.3434031009674072
benin_2012_00-10,benin,2012.0,-0.5415531992912292,0.0,24.0,11.260514259338379,2.3624215126037598
benin_2012_00-11,benin,2012.0,0.5666741728782654,1.0,23.0,10.838984489440918,2.833331823348999
benin_2012_00-12,benin,2012.0,-0.5654805898666382,1.0,23.0,10.782740592956543,2.811424493789673
benin_2012_00-13,benin,2012.0,-0.06313424557447433,0.0,24.0,10.792356491088867,2.7445220947265625
benin_2012_00-14,benin,2012.0,-0.5630027055740356,0.0,24.0,10.67032527923584,2.6792383193969727
benin_2012_00-15,benin,2012.0,-0.24342036247253418,0.0,23.0,10.6363525390625,2.7363972663879395
benin_2012_00-16,benin,2012.0,-0.3289830684661865,0.0,23.0,10.744380950927734,2.9701666831970215
benin_2012_00-17,benin,2012.0,-0.22859345376491547,1.0,23.0,11.185975074768066,2.9529881477355957
benin_2012_00-18,benin,2012.0,1.0269505977630615,1.0,24.0,11.121993064880371,2.9369680881500244
benin_2012_00-19,benin,2012.0,-0.22727654874324799,1.0,24.0,11.154922485351562,2.9762203693389893
benin_2012_00-20,benin,2012.0,-0.5579207539558411,0.0,23.0,11.298508644104004,3.134927749633789
benin_2012_00-21,benin,2012.0,-0.4702616333961487,0.0,24.0,10.987935066223145,3.1267056465148926
benin_2012_00-22,benin,2012.0,-0.5078102350234985,0.0,23.0,10.984130859375,2.8410871028900146
benin_2012_00-23,benin,2012.0,-0.27759647369384766,0.0,23.0,10.931806564331055,2.7451696395874023
benin_2012_00-24,benin,2012.0,-0.18253034353256226,0.0,23.0,11.104421615600586,2.755563974380493
benin_2012_00-25,benin,2012.0,-0.41680005192756653,0.0,24.0,11.935050010681152,3.1956543922424316
benin_2012_00-26,benin,2012.0,-0.9419300556182861,0.0,22.0,11.945374488830566,3.2448787689208984
benin_2012_00-27,benin,2012.0,-0.7644884586334229,0.0,23.0,12.161747932434082,3.025615930557251
benin_2012_00-28,benin,2012.0,-0.8545829057693481,0.0,23.0,12.370250701904297,2.838923692703247
benin_2012_00-29,benin,2012.0,-0.47678548097610474,0.0,24.0,12.065901756286621,3.188202142715454
benin_2012_00-30,benin,2012.0,-0.18685682117938995,1.0,23.0,11.851068496704102,3.391554355621338
benin_2012_00-31,benin,2012.0,0.274556964635849,1.0,22.0,11.853996276855469,3.387295722961426
benin_2012_00-32,benin,2012.0,0.9273055791854858,1.0,18.0,11.859910011291504,3.387756586074829
benin_2012_00-33,benin,2012.0,-0.6220973134040833,1.0,21.0,11.80690860748291,3.380359411239624
benin_2012_00-34,benin,2012.0,-0.3027905225753784,0.0,24.0,11.76402473449707,3.4792189598083496
benin_2012_00-35,benin,2012.0,-0.19144757091999054,0.0,24.0,11.80827808380127,3.3749656677246094
benin_2012_00-36,benin,2012.0,-0.6143450140953064,0.0,22.0,11.767330169677734,3.211146116256714
benin_2012_00-37,benin,2012.0,-0.5646140575408936,0.0,22.0,11.584071159362793,3.5150227546691895
benin_2012_00-38,benin,2012.0,-0.36701616644859314,0.0,22.0,11.681557655334473,3.5214128494262695
benin_2012_00-39,benin,2012.0,-0.364033967256546,1.0,23.0,10.958303451538086,3.643148422241211
benin_2012_00-40,benin,2012.0,0.25665220618247986,1.0,23.0,10.9224853515625,3.6751577854156494
benin_2012_00-41,benin,2012.0,-0.4880145788192749,0.0,24.0,10.900822639465332,3.5220351219177246
benin_2012_00-42,benin,2012.0,-0.19438481330871582,0.0,24.0,10.804786682128906,3.4338395595550537
benin_2012_00-43,benin,2012.0,-0.10549534112215042,1.0,24.0,10.176063537597656,1.107576847076416
benin_2012_00-44,benin,2012.0,-0.6357866525650024,1.0,24.0,10.203877449035645,1.0286246538162231
benin_2012_00-45,benin,2012.0,-0.6557688117027283,0.0,24.0,10.305048942565918,0.9396713376045227
benin_2012_00-46,benin,2012.0,-0.8972881436347961,0.0,24.0,10.281696319580078,1.032694697380066
benin_2012_00-47,benin,2012.0,-0.907382607460022,0.0,24.0,10.187071800231934,1.2890629768371582
benin_2012_00-48,benin,2012.0,-0.8282893300056458,0.0,24.0,10.351491928100586,1.1191521883010864
benin_2012_00-49,benin,2012.0,-0.8507595658302307,0.0,24.0,10.327031135559082,1.0957690477371216
benin_2012_00-50,benin,2012.0,-0.7758442163467407,0.0,23.0,10.404342651367188,1.0076420307159424
benin_2012_00-51,benin,2012.0,-0.49109378457069397,1.0,24.0,10.523502349853516,1.0509499311447144
benin_2012_00-52,benin,2012.0,-0.8952564597129822,1.0,24.0,10.514045715332031,0.9512912631034851
benin_2012_00-53,benin,2012.0,-0.5288509726524353,0.0,24.0,10.363292694091797,0.860884428024292
benin_2012_00-54,benin,2012.0,-0.7930492162704468,0.0,22.0,10.40964126586914,0.9442606568336487
benin_2012_00-55,benin,2012.0,-0.7710398435592651,0.0,24.0,10.553065299987793,1.0078204870224
benin_2012_00-56,benin,2012.0,-0.4931357800960541,1.0,23.0,10.803519248962402,2.1962857246398926
benin_2012_00-57,benin,2012.0,0.2921697795391083,1.0,24.0,10.81635570526123,2.0936801433563232
benin_2012_00-58,benin,2012.0,0.8209221363067627,1.0,24.0,10.839509010314941,2.113616943359375
benin_2012_00-59,benin,2012.0,-0.40493303537368774,0.0,24.0,10.6636323928833,2.0842528343200684
benin_2012_00-60,benin,2012.0,-0.44374164938926697,0.0,23.0,10.897079467773438,1.8477007150650024
benin_2012_00-61,benin,2012.0,0.4547101557254791,1.0,24.0,10.343522071838379,1.6872295141220093
benin_2012_00-62,benin,2012.0,-0.10714897513389587,1.0,24.0,10.367424964904785,1.6970354318618774
benin_2012_00-63,benin,2012.0,-0.3621007204055786,0.0,24.0,10.045228004455566,1.568535327911377
