index,country,year,wealth_index,is_urban,households,latitude,longitude
cote_d_ivoire_2012_00-0,cote_d_ivoire,2012.0,-0.15442711114883423,0.0,29.0,5.973453044891357,-3.1984729766845703
cote_d_ivoire_2012_00-1,cote_d_ivoire,2012.0,-0.5454304814338684,0.0,30.0,6.462502956390381,-8.211978912353516
cote_d_ivoire_2012_00-2,cote_d_ivoire,2012.0,-0.6504053473472595,0.0,31.0,7.27459716796875,-8.324563026428223
cote_d_ivoire_2012_00-3,cote_d_ivoire,2012.0,-0.26682329177856445,0.0,30.0,7.731449127197266,-3.059561014175415
cote_d_ivoire_2012_00-4,cote_d_ivoire,2012.0,1.5431935787200928,1.0,24.0,7.71382999420166,-5.040708065032959
cote_d_ivoire_2012_00-5,cote_d_ivoire,2012.0,-0.6834262609481812,0.0,30.0,7.745865821838379,-4.215073108673096
cote_d_ivoire_2012_00-6,cote_d_ivoire,2012.0,1.6324330568313599,1.0,26.0,6.643733978271484,-4.745619773864746
cote_d_ivoire_2012_00-7,cote_d_ivoire,2012.0,-0.042566146701574326,0.0,29.0,6.8924479484558105,-7.608675003051758
cote_d_ivoire_2012_00-8,cote_d_ivoire,2012.0,2.234701633453369,1.0,25.0,5.358885765075684,-3.987534999847412
cote_d_ivoire_2012_00-9,cote_d_ivoire,2012.0,1.034651756286621,1.0,21.0,7.410940170288086,-7.555014133453369
cote_d_ivoire_2012_00-10,cote_d_ivoire,2012.0,1.1841691732406616,1.0,26.0,7.714616775512695,-5.011033058166504
cote_d_ivoire_2012_00-11,cote_d_ivoire,2012.0,1.121020793914795,1.0,20.0,5.779922962188721,-6.577702045440674
cote_d_ivoire_2012_00-12,cote_d_ivoire,2012.0,0.5946661233901978,0.0,27.0,6.370819091796875,-6.492040157318115
cote_d_ivoire_2012_00-13,cote_d_ivoire,2012.0,-0.4995695948600769,0.0,24.0,4.819800853729248,-6.404806137084961
cote_d_ivoire_2012_00-14,cote_d_ivoire,2012.0,0.1783813089132309,0.0,26.0,6.1508660316467285,-4.243578910827637
cote_d_ivoire_2012_00-15,cote_d_ivoire,2012.0,-0.31358927488327026,0.0,28.0,6.111719131469727,-4.776144027709961
cote_d_ivoire_2012_00-16,cote_d_ivoire,2012.0,-0.5804767608642578,0.0,31.0,6.356634140014648,-4.54116678237915
cote_d_ivoire_2012_00-17,cote_d_ivoire,2012.0,-0.4192267060279846,0.0,31.0,8.246030807495117,-2.831249952316284
cote_d_ivoire_2012_00-18,cote_d_ivoire,2012.0,1.9699292182922363,1.0,21.0,5.262829780578613,-3.930453062057495
cote_d_ivoire_2012_00-19,cote_d_ivoire,2012.0,1.0613033771514893,1.0,25.0,8.03122329711914,-2.8097469806671143
cote_d_ivoire_2012_00-20,cote_d_ivoire,2012.0,1.3916891813278198,1.0,22.0,5.363110065460205,-4.034413814544678
cote_d_ivoire_2012_00-21,cote_d_ivoire,2012.0,0.5165951251983643,0.0,28.0,7.0547051429748535,-7.575076103210449
cote_d_ivoire_2012_00-22,cote_d_ivoire,2012.0,-0.5311914086341858,0.0,30.0,7.216651916503906,-3.3499159812927246
cote_d_ivoire_2012_00-23,cote_d_ivoire,2012.0,-0.25316405296325684,1.0,32.0,7.7597479820251465,-5.038454055786133
cote_d_ivoire_2012_00-24,cote_d_ivoire,2012.0,-0.08683779835700989,0.0,31.0,8.389869689941406,-3.107703924179077
cote_d_ivoire_2012_00-25,cote_d_ivoire,2012.0,1.1790993213653564,1.0,22.0,6.742129802703857,-3.503726005554199
cote_d_ivoire_2012_00-26,cote_d_ivoire,2012.0,-0.39478927850723267,0.0,28.0,5.554275989532471,-6.939746856689453
cote_d_ivoire_2012_00-27,cote_d_ivoire,2012.0,-0.8477293252944946,0.0,30.0,7.670873165130615,-7.547460079193115
cote_d_ivoire_2012_00-28,cote_d_ivoire,2012.0,-0.21484129130840302,0.0,15.0,6.150993824005127,-6.4376749992370605
cote_d_ivoire_2012_00-29,cote_d_ivoire,2012.0,-0.5093215107917786,0.0,31.0,8.123568534851074,-3.1176249980926514
cote_d_ivoire_2012_00-30,cote_d_ivoire,2012.0,0.8162029385566711,1.0,21.0,6.571018218994141,-5.0174560546875
cote_d_ivoire_2012_00-31,cote_d_ivoire,2012.0,-0.16346199810504913,1.0,21.0,6.613020896911621,-6.239215850830078
cote_d_ivoire_2012_00-32,cote_d_ivoire,2012.0,-0.045327745378017426,0.0,25.0,7.153318881988525,-6.352280139923096
cote_d_ivoire_2012_00-33,cote_d_ivoire,2012.0,0.2671688199043274,1.0,26.0,7.27686882019043,-7.77360200881958
cote_d_ivoire_2012_00-34,cote_d_ivoire,2012.0,1.3947359323501587,1.0,22.0,8.035472869873047,-2.7831180095672607
cote_d_ivoire_2012_00-35,cote_d_ivoire,2012.0,0.07529164850711823,0.0,28.0,6.753785133361816,-6.906315803527832
cote_d_ivoire_2012_00-36,cote_d_ivoire,2012.0,0.9855162501335144,1.0,26.0,7.493732929229736,-3.243752956390381
cote_d_ivoire_2012_00-37,cote_d_ivoire,2012.0,-0.44322124123573303,0.0,29.0,5.88783597946167,-6.755626201629639
cote_d_ivoire_2012_00-38,cote_d_ivoire,2012.0,0.0703272894024849,1.0,24.0,8.782205581665039,-5.6945929527282715
cote_d_ivoire_2012_00-39,cote_d_ivoire,2012.0,1.3069466352462769,1.0,22.0,6.544823169708252,-7.48686408996582
cote_d_ivoire_2012_00-40,cote_d_ivoire,2012.0,0.2693977355957031,0.0,29.0,5.436678886413574,-6.6299848556518555
cote_d_ivoire_2012_00-41,cote_d_ivoire,2012.0,-0.369242787361145,0.0,30.0,7.101893901824951,-3.502595901489258
cote_d_ivoire_2012_00-42,cote_d_ivoire,2012.0,0.5425072908401489,0.0,29.0,6.98124885559082,-3.4175069332122803
cote_d_ivoire_2012_00-43,cote_d_ivoire,2012.0,-0.5932326912879944,0.0,29.0,7.209309101104736,-7.861717224121094
cote_d_ivoire_2012_00-44,cote_d_ivoire,2012.0,0.9202292561531067,1.0,22.0,9.47275161743164,-5.6404948234558105
cote_d_ivoire_2012_00-45,cote_d_ivoire,2012.0,0.8664581179618835,1.0,23.0,8.075675010681152,-6.179708003997803
cote_d_ivoire_2012_00-46,cote_d_ivoire,2012.0,0.30909284949302673,0.0,31.0,6.125205993652344,-7.687486171722412
cote_d_ivoire_2012_00-47,cote_d_ivoire,2012.0,1.4933217763900757,1.0,21.0,7.682816028594971,-5.050195217132568
cote_d_ivoire_2012_00-48,cote_d_ivoire,2012.0,-0.26807868480682373,0.0,31.0,9.28031063079834,-7.063672065734863
cote_d_ivoire_2012_00-49,cote_d_ivoire,2012.0,-0.49894407391548157,0.0,24.0,9.188714981079102,-5.571598052978516
cote_d_ivoire_2012_00-50,cote_d_ivoire,2012.0,1.0480188131332397,1.0,22.0,7.7462921142578125,-5.014304161071777
cote_d_ivoire_2012_00-51,cote_d_ivoire,2012.0,1.3491653203964233,1.0,26.0,10.475818634033203,-6.3905110359191895
cote_d_ivoire_2012_00-52,cote_d_ivoire,2012.0,-0.2418639212846756,0.0,31.0,5.4436259269714355,-5.603336811065674
cote_d_ivoire_2012_00-53,cote_d_ivoire,2012.0,0.8288629055023193,1.0,25.0,7.396489143371582,-7.579535007476807
cote_d_ivoire_2012_00-54,cote_d_ivoire,2012.0,1.283718228340149,1.0,25.0,5.344162940979004,-4.029634952545166
cote_d_ivoire_2012_00-55,cote_d_ivoire,2012.0,-0.16392090916633606,0.0,26.0,6.161920070648193,-3.2653050422668457
cote_d_ivoire_2012_00-56,cote_d_ivoire,2012.0,0.05777246132493019,0.0,30.0,5.358413219451904,-7.321640968322754
cote_d_ivoire_2012_00-57,cote_d_ivoire,2012.0,1.0628409385681152,1.0,24.0,5.358758926391602,-4.0745720863342285
cote_d_ivoire_2012_00-58,cote_d_ivoire,2012.0,-0.2552851140499115,0.0,31.0,8.3591890335083,-4.345620155334473
cote_d_ivoire_2012_00-59,cote_d_ivoire,2012.0,0.28567492961883545,1.0,30.0,7.702682018280029,-5.031065940856934
cote_d_ivoire_2012_00-60,cote_d_ivoire,2012.0,0.9822061657905579,1.0,26.0,6.800890922546387,-5.2749857902526855
cote_d_ivoire_2012_00-61,cote_d_ivoire,2012.0,-0.2779698669910431,0.0,29.0,4.494207859039307,-7.541234016418457
cote_d_ivoire_2012_00-62,cote_d_ivoire,2012.0,1.6434979438781738,1.0,23.0,5.353507995605469,-4.07203483581543
cote_d_ivoire_2012_00-63,cote_d_ivoire,2012.0,-0.33570700883865356,0.0,30.0,6.823670864105225,-5.4369611740112305
cote_d_ivoire_2012_00-64,cote_d_ivoire,2012.0,0.5045580267906189,0.0,30.0,6.903736114501953,-3.456717014312744
cote_d_ivoire_2012_00-65,cote_d_ivoire,2012.0,0.40344148874282837,0.0,29.0,6.357202053070068,-6.239368915557861
cote_d_ivoire_2012_00-66,cote_d_ivoire,2012.0,0.5523096919059753,0.0,31.0,5.324231147766113,-3.8446199893951416
cote_d_ivoire_2012_00-67,cote_d_ivoire,2012.0,0.6993774771690369,1.0,23.0,6.132940769195557,-5.976700782775879
cote_d_ivoire_2012_00-68,cote_d_ivoire,2012.0,0.8491633534431458,0.0,29.0,6.412359237670898,-5.826286792755127
cote_d_ivoire_2012_00-69,cote_d_ivoire,2012.0,0.5376616716384888,0.0,29.0,6.12020206451416,-6.536293029785156
cote_d_ivoire_2012_00-70,cote_d_ivoire,2012.0,1.6875746250152588,1.0,24.0,5.3350629806518555,-4.098226070404053
cote_d_ivoire_2012_00-71,cote_d_ivoire,2012.0,0.32465532422065735,1.0,25.0,5.416982173919678,-6.542975902557373
cote_d_ivoire_2012_00-72,cote_d_ivoire,2012.0,-0.23115624487400055,0.0,31.0,6.7865190505981445,-6.1031389236450195
cote_d_ivoire_2012_00-73,cote_d_ivoire,2012.0,0.9114919900894165,1.0,27.0,7.701194763183594,-5.038323879241943
cote_d_ivoire_2012_00-74,cote_d_ivoire,2012.0,0.7632134556770325,1.0,21.0,5.498814105987549,-3.66511607170105
cote_d_ivoire_2012_00-75,cote_d_ivoire,2012.0,1.7664175033569336,1.0,21.0,5.336268901824951,-4.083563804626465
cote_d_ivoire_2012_00-76,cote_d_ivoire,2012.0,-0.3428467810153961,0.0,29.0,8.095852851867676,-4.456760883331299
cote_d_ivoire_2012_00-77,cote_d_ivoire,2012.0,1.453635811805725,1.0,26.0,6.142045021057129,-5.8525919914245605
cote_d_ivoire_2012_00-78,cote_d_ivoire,2012.0,0.4867011308670044,1.0,26.0,6.650154113769531,-4.170073986053467
cote_d_ivoire_2012_00-79,cote_d_ivoire,2012.0,0.9410781860351562,1.0,27.0,6.072718143463135,-3.40958309173584
cote_d_ivoire_2012_00-80,cote_d_ivoire,2012.0,0.9524813294410706,1.0,27.0,5.8142218589782715,-5.364984035491943
cote_d_ivoire_2012_00-81,cote_d_ivoire,2012.0,-0.4587448239326477,0.0,31.0,9.66781997680664,-3.085974931716919
cote_d_ivoire_2012_00-82,cote_d_ivoire,2012.0,1.159791111946106,1.0,26.0,6.821975231170654,-5.269693851470947
