index,country,year,wealth_index,is_urban,households,latitude,longitude
kenya_2014_11-0,kenya,2014.0,-0.6485357880592346,0.0,23.0,-0.040081001818180084,37.92069625854492
kenya_2014_11-1,kenya,2014.0,-0.3584442436695099,0.0,24.0,-0.13088999688625336,38.05728530883789
kenya_2014_11-2,kenya,2014.0,-0.3536262810230255,0.0,22.0,0.0005680000176653266,37.99258804321289
kenya_2014_11-3,kenya,2014.0,-0.5290536284446716,0.0,22.0,0.021916000172495842,38.04643630981445
kenya_2014_11-4,kenya,2014.0,-0.6661708354949951,0.0,24.0,-0.14879000186920166,37.8484992980957
kenya_2014_11-5,kenya,2014.0,-0.6086207032203674,0.0,23.0,-0.32629498839378357,37.878700256347656
kenya_2014_11-6,kenya,2014.0,-0.1841890513896942,0.0,24.0,-0.18619300425052643,37.88326644897461
kenya_2014_11-7,kenya,2014.0,0.9194402098655701,1.0,21.0,-0.54933100938797,37.46028137207031
kenya_2014_11-8,kenya,2014.0,0.6231178641319275,1.0,24.0,-0.5435649752616882,37.45964050292969
kenya_2014_11-9,kenya,2014.0,1.6154226064682007,1.0,23.0,-0.5453230142593384,37.45564651489258
kenya_2014_11-10,kenya,2014.0,1.3390763998031616,1.0,23.0,-0.5442590117454529,37.449073791503906
kenya_2014_11-11,kenya,2014.0,1.320878267288208,1.0,25.0,-0.5277569890022278,37.480831146240234
kenya_2014_11-12,kenya,2014.0,0.8141694664955139,1.0,23.0,-0.5162839889526367,37.45479965209961
kenya_2014_11-13,kenya,2014.0,0.7540699243545532,1.0,22.0,-0.5810359716415405,37.48564147949219
kenya_2014_11-14,kenya,2014.0,0.32038724422454834,0.0,24.0,-0.42179301381111145,37.47560501098633
kenya_2014_11-15,kenya,2014.0,0.157711461186409,0.0,24.0,-0.4230250120162964,37.48250198364258
kenya_2014_11-16,kenya,2014.0,0.55089271068573,0.0,24.0,-0.4416689872741699,37.55467224121094
kenya_2014_11-17,kenya,2014.0,0.18332457542419434,0.0,24.0,-0.4774619936943054,37.44856643676758
kenya_2014_11-18,kenya,2014.0,0.44977933168411255,0.0,25.0,-0.47664499282836914,37.48475646972656
kenya_2014_11-19,kenya,2014.0,0.09441505372524261,0.0,24.0,-0.4447129964828491,37.64681625366211
kenya_2014_11-20,kenya,2014.0,0.10866759717464447,1.0,22.0,-0.37125998735427856,37.55378723144531
kenya_2014_11-21,kenya,2014.0,-0.2558143734931946,0.0,25.0,-0.412308007478714,37.61177444458008
kenya_2014_11-22,kenya,2014.0,-0.20718659460544586,0.0,24.0,-0.4846619963645935,37.623878479003906
kenya_2014_11-23,kenya,2014.0,-0.12655875086784363,1.0,24.0,-0.46244698762893677,37.58403396606445
kenya_2014_11-24,kenya,2014.0,1.3720192909240723,1.0,24.0,-0.43243399262428284,37.573394775390625
kenya_2014_11-25,kenya,2014.0,-0.36372384428977966,0.0,24.0,-0.43579599261283875,37.55437088012695
kenya_2014_11-26,kenya,2014.0,-0.15063327550888062,0.0,25.0,-0.41060999035835266,37.53993225097656
kenya_2014_11-27,kenya,2014.0,-0.19293375313282013,0.0,23.0,-0.5435420274734497,37.54119873046875
kenya_2014_11-28,kenya,2014.0,0.3900265097618103,0.0,25.0,-0.4751819968223572,37.47767639160156
kenya_2014_11-29,kenya,2014.0,0.41884827613830566,0.0,25.0,-0.48208799958229065,37.792884826660156
kenya_2014_11-30,kenya,2014.0,-0.288687139749527,0.0,24.0,-0.44939300417900085,37.78219985961914
kenya_2014_11-31,kenya,2014.0,0.10651454329490662,0.0,24.0,-0.5918279886245728,37.58373260498047
kenya_2014_11-32,kenya,2014.0,-0.5710386037826538,0.0,25.0,-0.7331669926643372,37.52008056640625
kenya_2014_11-33,kenya,2014.0,-0.06905090063810349,0.0,25.0,-0.793749988079071,37.40094757080078
kenya_2014_11-34,kenya,2014.0,-0.26764798164367676,0.0,25.0,-0.8179489970207214,37.42304229736328
kenya_2014_11-35,kenya,2014.0,-0.12090203166007996,0.0,25.0,-0.6843379735946655,37.562381744384766
kenya_2014_11-36,kenya,2014.0,-0.2803792953491211,0.0,25.0,-0.6411430239677429,37.61396026611328
kenya_2014_11-37,kenya,2014.0,-0.6321753263473511,0.0,25.0,-0.7602059841156006,37.66966247558594
kenya_2014_11-38,kenya,2014.0,-0.5124989151954651,0.0,24.0,-0.7076650261878967,37.718841552734375
kenya_2014_11-39,kenya,2014.0,-0.2627273201942444,1.0,20.0,-1.421589970588684,37.9532356262207
kenya_2014_11-40,kenya,2014.0,-0.3349849581718445,1.0,24.0,-1.2951430082321167,38.07327651977539
kenya_2014_11-41,kenya,2014.0,-0.2193792313337326,1.0,25.0,-1.3078420162200928,38.039859771728516
kenya_2014_11-42,kenya,2014.0,1.993099570274353,1.0,21.0,-1.3553650379180908,38.00807189941406
kenya_2014_11-43,kenya,2014.0,0.06516917049884796,1.0,20.0,-1.397596001625061,37.99898910522461
kenya_2014_11-44,kenya,2014.0,-0.10262210667133331,0.0,24.0,-1.232403039932251,38.07794952392578
kenya_2014_11-45,kenya,2014.0,0.1559194028377533,0.0,25.0,-1.328029990196228,37.97068405151367
kenya_2014_11-46,kenya,2014.0,-0.24825383722782135,0.0,24.0,-1.2731519937515259,37.97991180419922
kenya_2014_11-47,kenya,2014.0,0.5897120833396912,1.0,23.0,-1.184391975402832,37.98009490966797
kenya_2014_11-48,kenya,2014.0,-0.08016473799943924,0.0,24.0,-1.2337030172348022,37.85944366455078
kenya_2014_11-49,kenya,2014.0,-0.43354448676109314,1.0,25.0,-1.4714540243148804,38.133033752441406
