index,country,year,wealth_index,is_urban,households,latitude,longitude
lesotho_2009_00-0,lesotho,2009.0,-0.4679325819015503,0.0,24.0,-29.93619728088379,27.52073097229004
lesotho_2009_00-1,lesotho,2009.0,-0.5386883020401001,0.0,25.0,-30.28270721435547,28.137836456298828
lesotho_2009_00-2,lesotho,2009.0,-0.044042471796274185,0.0,25.0,-29.512250900268555,27.716495513916016
lesotho_2009_00-3,lesotho,2009.0,-0.24638588726520538,0.0,24.0,-29.580522537231445,27.545743942260742
lesotho_2009_00-4,lesotho,2009.0,0.43540605902671814,1.0,25.0,-29.288246154785156,27.575525283813477
lesotho_2009_00-5,lesotho,2009.0,-0.8282822966575623,0.0,24.0,-29.485919952392578,28.815454483032227
lesotho_2009_00-6,lesotho,2009.0,-0.040181294083595276,0.0,23.0,-28.884151458740234,28.071969985961914
lesotho_2009_00-7,lesotho,2009.0,-0.12185604870319366,0.0,23.0,-29.863744735717773,27.226228713989258
lesotho_2009_00-8,lesotho,2009.0,-0.2722371816635132,0.0,23.0,-28.68952751159668,28.478897094726562
lesotho_2009_00-9,lesotho,2009.0,-0.1916748732328415,0.0,24.0,-29.63624382019043,27.76595115661621
lesotho_2009_00-10,lesotho,2009.0,-1.0216675996780396,0.0,24.0,-29.07771110534668,28.531925201416016
lesotho_2009_00-11,lesotho,2009.0,0.5131049156188965,1.0,24.0,-29.317176818847656,27.518545150756836
lesotho_2009_00-12,lesotho,2009.0,-0.44279974699020386,0.0,21.0,-29.916507720947266,27.636777877807617
lesotho_2009_00-13,lesotho,2009.0,-0.024965057149529457,0.0,24.0,-28.630210876464844,28.45503807067871
lesotho_2009_00-14,lesotho,2009.0,0.6284807324409485,1.0,24.0,-30.11239242553711,28.686986923217773
lesotho_2009_00-15,lesotho,2009.0,-0.19405117630958557,0.0,21.0,-29.07876968383789,27.810420989990234
lesotho_2009_00-16,lesotho,2009.0,-0.5241007804870605,0.0,23.0,-29.920320510864258,28.645896911621094
lesotho_2009_00-17,lesotho,2009.0,0.08250264078378677,1.0,24.0,-28.912391662597656,27.904605865478516
lesotho_2009_00-18,lesotho,2009.0,-1.0279226303100586,0.0,24.0,-29.193340301513672,28.699691772460938
lesotho_2009_00-19,lesotho,2009.0,-0.5252251029014587,0.0,23.0,-30.245859146118164,27.725725173950195
lesotho_2009_00-20,lesotho,2009.0,1.0005220174789429,1.0,19.0,-29.299938201904297,27.554956436157227
lesotho_2009_00-21,lesotho,2009.0,-0.5214366912841797,0.0,24.0,-29.01364517211914,28.97821044921875
lesotho_2009_00-22,lesotho,2009.0,0.5332978367805481,1.0,25.0,-29.35049057006836,27.48786163330078
lesotho_2009_00-23,lesotho,2009.0,0.3034023642539978,1.0,25.0,-30.401485443115234,27.72678565979004
lesotho_2009_00-24,lesotho,2009.0,0.9431216716766357,1.0,20.0,-29.345638275146484,27.515291213989258
lesotho_2009_00-25,lesotho,2009.0,-0.18393807113170624,0.0,24.0,-29.003402709960938,28.174819946289062
lesotho_2009_00-26,lesotho,2009.0,-0.8258845806121826,0.0,23.0,-29.95919418334961,27.821256637573242
lesotho_2009_00-27,lesotho,2009.0,0.39584654569625854,1.0,23.0,-29.829313278198242,27.21294403076172
lesotho_2009_00-28,lesotho,2009.0,-0.8887135982513428,0.0,25.0,-30.087230682373047,27.90595245361328
lesotho_2009_00-29,lesotho,2009.0,-0.4293513298034668,0.0,23.0,-28.695594787597656,28.44083595275879
lesotho_2009_00-30,lesotho,2009.0,-0.49483299255371094,0.0,24.0,-30.008020401000977,28.3302059173584
lesotho_2009_00-31,lesotho,2009.0,-0.4546481668949127,0.0,23.0,-29.707416534423828,27.51251220703125
lesotho_2009_00-32,lesotho,2009.0,0.08403120189905167,1.0,24.0,-29.348735809326172,27.49349594116211
lesotho_2009_00-33,lesotho,2009.0,-0.3782464563846588,0.0,23.0,-29.475820541381836,28.16727638244629
lesotho_2009_00-34,lesotho,2009.0,-0.9374650120735168,0.0,25.0,-29.820329666137695,28.66913604736328
lesotho_2009_00-35,lesotho,2009.0,0.9805663824081421,1.0,24.0,-30.133617401123047,27.478124618530273
lesotho_2009_00-36,lesotho,2009.0,-0.11263673007488251,0.0,22.0,-28.72214126586914,28.29975128173828
lesotho_2009_00-37,lesotho,2009.0,-0.6289076805114746,0.0,23.0,-29.985315322875977,27.639677047729492
lesotho_2009_00-38,lesotho,2009.0,-0.555207371711731,0.0,24.0,-29.3300838470459,28.790922164916992
lesotho_2009_00-39,lesotho,2009.0,0.2438700795173645,0.0,25.0,-29.41117286682129,27.755699157714844
lesotho_2009_00-40,lesotho,2009.0,-0.5547665953636169,0.0,24.0,-29.289701461791992,29.201236724853516
lesotho_2009_00-41,lesotho,2009.0,-0.5357374548912048,0.0,22.0,-30.089656829833984,28.43253517150879
lesotho_2009_00-42,lesotho,2009.0,0.8441658616065979,1.0,23.0,-29.285932540893555,27.528284072875977
lesotho_2009_00-43,lesotho,2009.0,-0.15103550255298615,0.0,24.0,-28.931203842163086,27.997697830200195
lesotho_2009_00-44,lesotho,2009.0,0.2531820237636566,1.0,25.0,-30.129819869995117,28.683589935302734
lesotho_2009_00-45,lesotho,2009.0,0.2511834502220154,1.0,23.0,-29.351028442382812,27.490737915039062
lesotho_2009_00-46,lesotho,2009.0,-0.6956124901771545,0.0,22.0,-30.558570861816406,27.75348472595215
