index,country,year,wealth_index,is_urban,households,latitude,longitude
malawi_2010_00-0,malawi,2010.0,-0.47667592763900757,0.0,35.0,-14.293994903564453,34.46875
malawi_2010_00-1,malawi,2010.0,-0.5562829375267029,0.0,32.0,-14.79153823852539,35.033084869384766
malawi_2010_00-2,malawi,2010.0,-0.559472382068634,0.0,32.0,-13.435848236083984,32.94521713256836
malawi_2010_00-3,malawi,2010.0,-0.8926847577095032,0.0,33.0,-16.363670349121094,34.68996810913086
malawi_2010_00-4,malawi,2010.0,-0.10572553426027298,0.0,31.0,-11.85516357421875,34.10081481933594
malawi_2010_00-5,malawi,2010.0,-0.32713329792022705,0.0,34.0,-15.349759101867676,35.18952941894531
malawi_2010_00-6,malawi,2010.0,-0.8187441229820251,0.0,34.0,-15.519192695617676,35.65167999267578
malawi_2010_00-7,malawi,2010.0,-0.7530848979949951,0.0,33.0,-13.677802085876465,35.01728057861328
malawi_2010_00-8,malawi,2010.0,-0.49894118309020996,0.0,29.0,-15.914877891540527,34.95446014404297
malawi_2010_00-9,malawi,2010.0,-0.7510929703712463,0.0,27.0,-14.112174987792969,34.33586502075195
malawi_2010_00-10,malawi,2010.0,-0.7519554495811462,0.0,33.0,-13.20881462097168,34.32142639160156
malawi_2010_00-11,malawi,2010.0,-0.6250141859054565,0.0,32.0,-13.872370719909668,34.348873138427734
malawi_2010_00-12,malawi,2010.0,1.0454821586608887,1.0,20.0,-11.89427375793457,33.60270690917969
malawi_2010_00-13,malawi,2010.0,-0.5410450100898743,0.0,33.0,-16.226423263549805,35.09782791137695
malawi_2010_00-14,malawi,2010.0,-0.7132584452629089,0.0,31.0,-15.708474159240723,34.508907318115234
malawi_2010_00-15,malawi,2010.0,0.12094476819038391,1.0,16.0,-11.021713256835938,33.84840774536133
malawi_2010_00-16,malawi,2010.0,-0.6400388479232788,0.0,30.0,-15.555939674377441,34.48162841796875
malawi_2010_00-17,malawi,2010.0,-0.34957438707351685,0.0,28.0,-11.573168754577637,34.03684616088867
malawi_2010_00-18,malawi,2010.0,-0.7869874238967896,0.0,33.0,-13.393404960632324,33.79573059082031
malawi_2010_00-19,malawi,2010.0,0.5961810350418091,1.0,16.0,-15.395780563354492,34.64085388183594
malawi_2010_00-20,malawi,2010.0,-0.888136088848114,0.0,30.0,-16.495885848999023,35.01335906982422
malawi_2010_00-21,malawi,2010.0,-0.6987448930740356,0.0,30.0,-9.784003257751465,33.455223083496094
malawi_2010_00-22,malawi,2010.0,2.320265531539917,1.0,17.0,-15.817551612854004,35.01255416870117
malawi_2010_00-23,malawi,2010.0,-0.6969366073608398,0.0,31.0,-14.679471969604492,34.90290451049805
malawi_2010_00-24,malawi,2010.0,-0.7329356670379639,0.0,33.0,-16.348857879638672,35.270572662353516
malawi_2010_00-25,malawi,2010.0,-0.580359935760498,0.0,33.0,-15.790040016174316,35.32612609863281
malawi_2010_00-26,malawi,2010.0,-0.4270275831222534,0.0,33.0,-14.864517211914062,34.62623977661133
malawi_2010_00-27,malawi,2010.0,-0.3701964318752289,0.0,33.0,-10.717185020446777,34.18424987792969
malawi_2010_00-28,malawi,2010.0,-0.8267276883125305,0.0,32.0,-15.71445083618164,34.462886810302734
malawi_2010_00-29,malawi,2010.0,0.8564749956130981,1.0,19.0,-15.072626113891602,35.21266555786133
malawi_2010_00-30,malawi,2010.0,-0.7625542879104614,0.0,31.0,-14.02051067352295,33.89863586425781
malawi_2010_00-31,malawi,2010.0,-0.7900381088256836,0.0,32.0,-16.872638702392578,35.256221771240234
malawi_2010_00-32,malawi,2010.0,-0.8442493081092834,0.0,32.0,-16.97743034362793,35.23695755004883
malawi_2010_00-33,malawi,2010.0,0.06391140818595886,1.0,16.0,-13.514456748962402,33.7389030456543
malawi_2010_00-34,malawi,2010.0,-0.7669066786766052,0.0,34.0,-15.765332221984863,34.50515365600586
malawi_2010_00-35,malawi,2010.0,-0.7398500442504883,0.0,30.0,-14.108953475952148,33.522621154785156
malawi_2010_00-36,malawi,2010.0,-0.37450671195983887,0.0,27.0,-15.523782730102539,35.02457809448242
malawi_2010_00-37,malawi,2010.0,-0.8010220527648926,0.0,29.0,-14.260088920593262,33.68672180175781
malawi_2010_00-38,malawi,2010.0,-0.6142768263816833,0.0,32.0,-12.798341751098633,33.530914306640625
malawi_2010_00-39,malawi,2010.0,-0.8345475196838379,0.0,31.0,-13.7969388961792,33.22909164428711
malawi_2010_00-40,malawi,2010.0,-0.7715420126914978,0.0,30.0,-14.786126136779785,35.15434265136719
malawi_2010_00-41,malawi,2010.0,-0.38447532057762146,0.0,34.0,-11.569722175598145,33.750423431396484
malawi_2010_00-42,malawi,2010.0,-0.712790846824646,0.0,33.0,-16.246213912963867,35.04159164428711
malawi_2010_00-43,malawi,2010.0,-0.6133037805557251,0.0,29.0,-13.244865417480469,33.915199279785156
