index,country,year,wealth_index,is_urban,households,latitude,longitude
senegal_2012_00-0,senegal,2012.0,1.598379135131836,1.0,21.0,14.675431251525879,-17.440521240234375
senegal_2012_00-1,senegal,2012.0,1.7342948913574219,1.0,20.0,14.678271293640137,-17.457794189453125
senegal_2012_00-2,senegal,2012.0,1.4212520122528076,1.0,21.0,14.710418701171875,-17.459287643432617
senegal_2012_00-3,senegal,2012.0,2.1175763607025146,1.0,21.0,14.70281982421875,-17.443008422851562
senegal_2012_00-4,senegal,2012.0,1.8488900661468506,1.0,22.0,14.757124900817871,-17.478473663330078
senegal_2012_00-5,senegal,2012.0,1.3320837020874023,1.0,19.0,14.744637489318848,-17.443618774414062
senegal_2012_00-6,senegal,2012.0,1.247057557106018,1.0,21.0,14.736845970153809,-17.441219329833984
senegal_2012_00-7,senegal,2012.0,1.9353420734405518,1.0,20.0,14.755411148071289,-17.445573806762695
senegal_2012_00-8,senegal,2012.0,1.3189184665679932,1.0,20.0,14.775216102600098,-17.39910125732422
senegal_2012_00-9,senegal,2012.0,0.9687042832374573,1.0,21.0,14.786161422729492,-17.36141586303711
senegal_2012_00-10,senegal,2012.0,0.9979705810546875,1.0,21.0,14.76053237915039,-17.359895706176758
senegal_2012_00-11,senegal,2012.0,1.2998971939086914,1.0,21.0,14.756497383117676,-17.396421432495117
senegal_2012_00-12,senegal,2012.0,1.1070371866226196,1.0,20.0,14.764643669128418,-17.38035774230957
senegal_2012_00-13,senegal,2012.0,1.3370773792266846,1.0,22.0,14.746673583984375,-17.348817825317383
senegal_2012_00-14,senegal,2012.0,1.3129405975341797,1.0,20.0,14.768244743347168,-17.361398696899414
senegal_2012_00-15,senegal,2012.0,1.4639335870742798,1.0,22.0,14.715044021606445,-17.255809783935547
senegal_2012_00-16,senegal,2012.0,1.3789896965026855,0.0,22.0,14.790910720825195,-17.26908302307129
senegal_2012_00-17,senegal,2012.0,1.2691384553909302,0.0,22.0,14.826687812805176,-17.155508041381836
senegal_2012_00-18,senegal,2012.0,1.2163538932800293,0.0,19.0,14.652800559997559,-17.175067901611328
senegal_2012_00-19,senegal,2012.0,0.5806962847709656,0.0,21.0,14.827784538269043,-16.405988693237305
senegal_2012_00-20,senegal,2012.0,-0.0290032010525465,0.0,22.0,14.70948314666748,-16.581241607666016
senegal_2012_00-21,senegal,2012.0,-0.21320587396621704,0.0,21.0,14.978678703308105,-16.261491775512695
senegal_2012_00-22,senegal,2012.0,-0.35965362191200256,0.0,21.0,14.68187427520752,-16.19276237487793
senegal_2012_00-23,senegal,2012.0,1.018345594406128,1.0,22.0,14.668410301208496,-16.229969024658203
senegal_2012_00-24,senegal,2012.0,1.1637412309646606,1.0,22.0,14.65512752532959,-16.21754264831543
senegal_2012_00-25,senegal,2012.0,1.7770966291427612,1.0,20.0,14.665565490722656,-16.2409725189209
senegal_2012_00-26,senegal,2012.0,-0.2632792890071869,0.0,21.0,14.937385559082031,-16.021102905273438
senegal_2012_00-27,senegal,2012.0,1.2996904850006104,0.0,21.0,14.830283164978027,-15.87554931640625
senegal_2012_00-28,senegal,2012.0,1.4022204875946045,0.0,20.0,14.912568092346191,-15.881767272949219
senegal_2012_00-29,senegal,2012.0,1.123475432395935,0.0,21.0,14.879924774169922,-15.898284912109375
senegal_2012_00-30,senegal,2012.0,0.8692715167999268,0.0,22.0,14.863072395324707,-15.890610694885254
senegal_2012_00-31,senegal,2012.0,0.34812381863594055,0.0,21.0,14.834868431091309,-15.844818115234375
senegal_2012_00-32,senegal,2012.0,0.12481417506933212,0.0,22.0,14.862021446228027,-15.836041450500488
senegal_2012_00-33,senegal,2012.0,0.9681022763252258,1.0,22.0,14.779796600341797,-15.903962135314941
senegal_2012_00-34,senegal,2012.0,1.4362684488296509,1.0,21.0,14.808024406433105,-15.899928092956543
senegal_2012_00-35,senegal,2012.0,-0.2644590139389038,0.0,20.0,14.388103485107422,-16.1988468170166
senegal_2012_00-36,senegal,2012.0,0.9605186581611633,0.0,21.0,14.132414817810059,-16.720510482788086
senegal_2012_00-37,senegal,2012.0,-0.0442797914147377,0.0,22.0,14.551947593688965,-16.481033325195312
senegal_2012_00-38,senegal,2012.0,-0.2592502534389496,0.0,20.0,14.508223533630371,-16.332448959350586
senegal_2012_00-39,senegal,2012.0,0.7238742113113403,0.0,21.0,14.447514533996582,-16.602924346923828
senegal_2012_00-40,senegal,2012.0,1.5577998161315918,1.0,22.0,14.33216667175293,-16.408205032348633
senegal_2012_00-41,senegal,2012.0,1.2705813646316528,1.0,22.0,14.314416885375977,-16.401126861572266
senegal_2012_00-42,senegal,2012.0,1.0922012329101562,0.0,22.0,14.077906608581543,-16.438312530517578
senegal_2012_00-43,senegal,2012.0,0.2125537395477295,0.0,22.0,13.71830940246582,-16.34190559387207
senegal_2012_00-44,senegal,2012.0,0.4737754166126251,0.0,22.0,13.839301109313965,-16.32645606994629
senegal_2012_00-45,senegal,2012.0,1.3363338708877563,1.0,21.0,13.875029563903809,-16.369951248168945
senegal_2012_00-46,senegal,2012.0,0.5226162672042847,0.0,20.0,14.648014068603516,-15.712477684020996
senegal_2012_00-47,senegal,2012.0,-0.20118822157382965,0.0,21.0,14.456701278686523,-16.014915466308594
senegal_2012_00-48,senegal,2012.0,1.1009665727615356,1.0,20.0,14.26513385772705,-15.958231925964355
senegal_2012_00-49,senegal,2012.0,0.08614500612020493,0.0,22.0,14.169337272644043,-15.704309463500977
senegal_2012_00-50,senegal,2012.0,-0.19735342264175415,0.0,22.0,14.02561092376709,-15.649009704589844
senegal_2012_00-51,senegal,2012.0,-0.1057792454957962,0.0,21.0,13.919407844543457,-14.7250394821167
senegal_2012_00-52,senegal,2012.0,-0.3931703269481659,0.0,22.0,13.838447570800781,-14.844677925109863
senegal_2012_00-53,senegal,2012.0,-0.25729748606681824,0.0,22.0,14.390494346618652,-15.450278282165527
senegal_2012_00-54,senegal,2012.0,0.21834616363048553,0.0,22.0,14.135964393615723,-15.572803497314453
senegal_2012_00-55,senegal,2012.0,0.7108057737350464,1.0,22.0,14.090158462524414,-15.280476570129395
senegal_2012_00-56,senegal,2012.0,-0.2935684621334076,0.0,22.0,13.95056438446045,-15.474638938903809
senegal_2012_00-57,senegal,2012.0,-0.2313098907470703,0.0,21.0,13.830877304077148,-15.543183326721191
senegal_2012_00-58,senegal,2012.0,1.2317214012145996,1.0,21.0,14.100006103515625,-15.552192687988281
senegal_2012_00-59,senegal,2012.0,0.23537886142730713,1.0,21.0,13.995532035827637,-14.790528297424316
