index,country,year,wealth_index,is_urban,households,latitude,longitude
sierra_leone_2013_00-0,sierra_leone,2013.0,0.21720239520072937,0.0,30.0,8.279786109924316,-13.052769660949707
sierra_leone_2013_00-1,sierra_leone,2013.0,-0.655021607875824,0.0,28.0,9.115395545959473,-12.644425392150879
sierra_leone_2013_00-2,sierra_leone,2013.0,0.08390002697706223,0.0,27.0,9.141192436218262,-11.547318458557129
sierra_leone_2013_00-3,sierra_leone,2013.0,-0.4794185161590576,0.0,26.0,8.385000228881836,-10.398760795593262
sierra_leone_2013_00-4,sierra_leone,2013.0,0.28194236755371094,0.0,30.0,8.17589282989502,-11.045858383178711
sierra_leone_2013_00-5,sierra_leone,2013.0,-0.4233742952346802,1.0,27.0,7.613823890686035,-12.138717651367188
sierra_leone_2013_00-6,sierra_leone,2013.0,-0.5624911189079285,0.0,30.0,8.736842155456543,-12.687793731689453
sierra_leone_2013_00-7,sierra_leone,2013.0,-0.5041294693946838,1.0,25.0,7.536832809448242,-12.46045207977295
sierra_leone_2013_00-8,sierra_leone,2013.0,-0.7193806171417236,0.0,23.0,7.4078240394592285,-12.362927436828613
sierra_leone_2013_00-9,sierra_leone,2013.0,-0.843963086605072,0.0,30.0,8.7810697555542,-11.066643714904785
sierra_leone_2013_00-10,sierra_leone,2013.0,-0.5268516540527344,0.0,27.0,7.0435051918029785,-11.510641098022461
sierra_leone_2013_00-11,sierra_leone,2013.0,-0.46364259719848633,1.0,30.0,7.7206621170043945,-11.178499221801758
sierra_leone_2013_00-12,sierra_leone,2013.0,0.4361394941806793,0.0,30.0,8.401419639587402,-13.166573524475098
sierra_leone_2013_00-13,sierra_leone,2013.0,-0.5961589813232422,0.0,25.0,9.234273910522461,-12.604850769042969
sierra_leone_2013_00-14,sierra_leone,2013.0,-0.5954421162605286,0.0,30.0,7.888790130615234,-11.053289413452148
sierra_leone_2013_00-15,sierra_leone,2013.0,0.7906593084335327,1.0,28.0,8.421314239501953,-13.28000545501709
sierra_leone_2013_00-16,sierra_leone,2013.0,-0.4468744993209839,0.0,17.0,8.082257270812988,-11.008464813232422
sierra_leone_2013_00-17,sierra_leone,2013.0,-0.3517094552516937,0.0,30.0,7.763922214508057,-11.377744674682617
sierra_leone_2013_00-18,sierra_leone,2013.0,-0.8076352477073669,0.0,30.0,8.753155708312988,-11.36014461517334
sierra_leone_2013_00-19,sierra_leone,2013.0,-0.050360798835754395,0.0,30.0,7.425291061401367,-11.859562873840332
sierra_leone_2013_00-20,sierra_leone,2013.0,-0.5221973657608032,1.0,27.0,8.223102569580078,-10.591373443603516
sierra_leone_2013_00-21,sierra_leone,2013.0,0.8102636337280273,1.0,30.0,7.958446025848389,-11.734466552734375
sierra_leone_2013_00-22,sierra_leone,2013.0,-0.2610781490802765,0.0,30.0,8.826248168945312,-13.095439910888672
sierra_leone_2013_00-23,sierra_leone,2013.0,-0.7603493332862854,0.0,30.0,8.210577964782715,-11.31333065032959
sierra_leone_2013_00-24,sierra_leone,2013.0,-0.3742336332798004,0.0,30.0,9.001983642578125,-11.910486221313477
sierra_leone_2013_00-25,sierra_leone,2013.0,-0.47786757349967957,0.0,30.0,9.027471542358398,-13.146856307983398
sierra_leone_2013_00-26,sierra_leone,2013.0,-0.5930376648902893,1.0,30.0,8.741090774536133,-12.213090896606445
sierra_leone_2013_00-27,sierra_leone,2013.0,0.07789309322834015,1.0,30.0,8.631654739379883,-10.990240097045898
sierra_leone_2013_00-28,sierra_leone,2013.0,-0.8096805810928345,0.0,30.0,7.761017799377441,-12.15855598449707
sierra_leone_2013_00-29,sierra_leone,2013.0,-0.5606219172477722,0.0,30.0,9.223198890686035,-10.68498706817627
sierra_leone_2013_00-30,sierra_leone,2013.0,0.0833997130393982,1.0,30.0,7.496882915496826,-11.476213455200195
sierra_leone_2013_00-31,sierra_leone,2013.0,-0.19713127613067627,1.0,26.0,8.681694984436035,-11.24853801727295
sierra_leone_2013_00-32,sierra_leone,2013.0,-0.8330400586128235,0.0,30.0,8.160950660705566,-12.088879585266113
sierra_leone_2013_00-33,sierra_leone,2013.0,-0.17319567501544952,0.0,30.0,8.930752754211426,-12.8538818359375
sierra_leone_2013_00-34,sierra_leone,2013.0,-0.07077478617429733,0.0,30.0,8.657984733581543,-13.232744216918945
sierra_leone_2013_00-35,sierra_leone,2013.0,-0.591691792011261,0.0,30.0,7.883592128753662,-10.949689865112305
sierra_leone_2013_00-36,sierra_leone,2013.0,-0.5375678539276123,1.0,30.0,7.280877113342285,-11.2692289352417
sierra_leone_2013_00-37,sierra_leone,2013.0,-0.616088330745697,0.0,30.0,8.415314674377441,-11.157205581665039
sierra_leone_2013_00-38,sierra_leone,2013.0,0.4727388024330139,1.0,30.0,7.894192218780518,-11.183307647705078
sierra_leone_2013_00-39,sierra_leone,2013.0,-0.5447041988372803,0.0,25.0,7.459081172943115,-12.549562454223633
sierra_leone_2013_00-40,sierra_leone,2013.0,-0.6710978150367737,0.0,30.0,8.631180763244629,-12.422598838806152
sierra_leone_2013_00-41,sierra_leone,2013.0,-0.4272094964981079,0.0,30.0,9.456090927124023,-12.205822944641113
sierra_leone_2013_00-42,sierra_leone,2013.0,-0.24470508098602295,0.0,29.0,7.639955043792725,-12.327713966369629
sierra_leone_2013_00-43,sierra_leone,2013.0,-0.41103625297546387,0.0,30.0,8.028660774230957,-11.597615242004395
sierra_leone_2013_00-44,sierra_leone,2013.0,0.10884115099906921,1.0,30.0,8.331441879272461,-13.074844360351562
