index,country,year,wealth_index,is_urban,households,latitude,longitude
tanzania_2010_00-0,tanzania,2010.0,0.17625412344932556,1.0,21.0,-6.138476848602295,35.74370193481445
tanzania_2010_00-1,tanzania,2010.0,-0.6128476858139038,0.0,22.0,-4.715210914611816,36.007286071777344
tanzania_2010_00-2,tanzania,2010.0,-0.5482524633407593,0.0,20.0,-5.108290195465088,36.30113220214844
tanzania_2010_00-3,tanzania,2010.0,-1.1444261074066162,0.0,20.0,-5.659221172332764,35.38970947265625
tanzania_2010_00-4,tanzania,2010.0,-0.7461320757865906,0.0,20.0,-4.562516212463379,35.756385803222656
tanzania_2010_00-5,tanzania,2010.0,-0.29589325189590454,0.0,22.0,-6.366959095001221,36.50533676147461
tanzania_2010_00-6,tanzania,2010.0,-0.7371024489402771,0.0,22.0,-7.229450225830078,36.429969787597656
tanzania_2010_00-7,tanzania,2010.0,-0.9926011562347412,0.0,22.0,-6.281957149505615,36.28404235839844
tanzania_2010_00-8,tanzania,2010.0,-0.7325610518455505,0.0,22.0,-5.762025833129883,36.54021453857422
tanzania_2010_00-9,tanzania,2010.0,-0.8899365663528442,0.0,21.0,-6.261413097381592,36.645633697509766
tanzania_2010_00-10,tanzania,2010.0,-0.9984066486358643,0.0,20.0,-5.790761947631836,36.08142852783203
tanzania_2010_00-11,tanzania,2010.0,-0.910792887210846,0.0,21.0,-6.296090126037598,35.91340637207031
tanzania_2010_00-12,tanzania,2010.0,-0.7596026062965393,0.0,19.0,-6.499964237213135,35.665523529052734
tanzania_2010_00-13,tanzania,2010.0,-0.9623986482620239,0.0,21.0,-6.269552230834961,35.337005615234375
tanzania_2010_00-14,tanzania,2010.0,-1.0174124240875244,0.0,20.0,-5.8034467697143555,35.49132537841797
tanzania_2010_00-15,tanzania,2010.0,-0.8257769346237183,0.0,22.0,-5.942577838897705,35.901248931884766
tanzania_2010_00-16,tanzania,2010.0,-0.8178130984306335,0.0,22.0,-6.299098014831543,35.59966278076172
tanzania_2010_00-17,tanzania,2010.0,-0.08102141320705414,1.0,17.0,-2.7239580154418945,36.69648742675781
tanzania_2010_00-18,tanzania,2010.0,0.27705568075180054,1.0,18.0,-3.3210020065307617,36.6175651550293
tanzania_2010_00-20,tanzania,2010.0,0.40631213784217834,1.0,19.0,-3.3819398880004883,36.673492431640625
tanzania_2010_00-22,tanzania,2010.0,0.2914792597293854,1.0,19.0,-3.3782999515533447,36.66313552856445
tanzania_2010_00-23,tanzania,2010.0,0.2894839644432068,1.0,18.0,-3.365854024887085,36.669002532958984
tanzania_2010_00-24,tanzania,2010.0,-0.9362128973007202,0.0,20.0,-3.6375949382781982,36.57461166381836
tanzania_2010_00-25,tanzania,2010.0,-0.624218761920929,0.0,22.0,-2.5609869956970215,36.47563934326172
tanzania_2010_00-26,tanzania,2010.0,-0.5249226093292236,0.0,21.0,-3.228174924850464,36.95320129394531
tanzania_2010_00-27,tanzania,2010.0,-0.5328022837638855,0.0,21.0,-3.572838068008423,36.9091796875
tanzania_2010_00-28,tanzania,2010.0,-0.5473467707633972,0.0,22.0,-3.3256900310516357,36.762779235839844
tanzania_2010_00-29,tanzania,2010.0,-0.6364662051200867,0.0,21.0,-3.578540086746216,36.641204833984375
tanzania_2010_00-30,tanzania,2010.0,-0.04545158892869949,0.0,19.0,-3.3303089141845703,36.74577713012695
tanzania_2010_00-31,tanzania,2010.0,-0.36792075634002686,0.0,22.0,-3.324934959411621,36.6949348449707
tanzania_2010_00-32,tanzania,2010.0,-0.7274512052536011,0.0,20.0,-3.5191640853881836,35.3851203918457
tanzania_2010_00-33,tanzania,2010.0,-0.09904994815587997,0.0,21.0,-3.3072550296783447,35.75829315185547
tanzania_2010_00-34,tanzania,2010.0,-0.9014069437980652,0.0,20.0,-2.9787371158599854,35.528663635253906
tanzania_2010_00-35,tanzania,2010.0,-0.08628755807876587,1.0,19.0,-3.651879072189331,37.4495735168457
tanzania_2010_00-36,tanzania,2010.0,1.0147294998168945,1.0,21.0,-3.3789761066436768,37.554866790771484
tanzania_2010_00-37,tanzania,2010.0,0.8656547665596008,1.0,21.0,-3.344835042953491,37.35028076171875
tanzania_2010_00-38,tanzania,2010.0,0.604422926902771,1.0,19.0,-3.3854711055755615,37.336456298828125
tanzania_2010_00-39,tanzania,2010.0,-0.1536630541086197,0.0,22.0,-3.2555088996887207,37.60899353027344
tanzania_2010_00-40,tanzania,2010.0,-0.34153276681900024,0.0,22.0,-3.1297059059143066,37.63560485839844
tanzania_2010_00-41,tanzania,2010.0,-0.5225194096565247,0.0,20.0,-3.0670700073242188,37.60997009277344
tanzania_2010_00-42,tanzania,2010.0,-0.3775968551635742,0.0,20.0,-3.9153740406036377,37.65227127075195
tanzania_2010_00-43,tanzania,2010.0,-0.6221861839294434,0.0,21.0,-4.255792140960693,37.86176681518555
tanzania_2010_00-44,tanzania,2010.0,-0.2650131583213806,0.0,22.0,-4.305840015411377,37.88145065307617
tanzania_2010_00-45,tanzania,2010.0,-0.05251229554414749,0.0,21.0,-3.3081040382385254,37.51105880737305
tanzania_2010_00-46,tanzania,2010.0,-0.19188715517520905,0.0,22.0,-3.3308091163635254,37.47272491455078
tanzania_2010_00-47,tanzania,2010.0,-0.3161639869213104,0.0,22.0,-3.2736189365386963,37.37166976928711
tanzania_2010_00-48,tanzania,2010.0,0.8392792344093323,0.0,20.0,-3.2474310398101807,37.333168029785156
tanzania_2010_00-49,tanzania,2010.0,-0.5897616147994995,0.0,21.0,-3.206507921218872,37.30129623413086
tanzania_2010_00-50,tanzania,2010.0,0.33396607637405396,0.0,21.0,-3.229024887084961,37.22785186767578
tanzania_2010_00-51,tanzania,2010.0,0.359122097492218,0.0,21.0,-3.2441940307617188,37.20186233520508
tanzania_2010_00-52,tanzania,2010.0,-0.15302281081676483,0.0,21.0,-3.0627601146698,37.04025650024414
tanzania_2010_00-53,tanzania,2010.0,0.1632956862449646,1.0,20.0,-5.296945095062256,38.6007080078125
tanzania_2010_00-54,tanzania,2010.0,0.7551582455635071,1.0,22.0,-5.081542015075684,39.0897216796875
tanzania_2010_00-55,tanzania,2010.0,1.136107325553894,1.0,21.0,-5.087096214294434,39.10967254638672
tanzania_2010_00-56,tanzania,2010.0,0.6643837094306946,1.0,19.0,-5.423061847686768,38.0381965637207
tanzania_2010_00-57,tanzania,2010.0,-0.9730587005615234,0.0,21.0,-4.902736186981201,38.4611701965332
tanzania_2010_00-58,tanzania,2010.0,-0.9655980467796326,0.0,20.0,-4.751194953918457,38.47038650512695
tanzania_2010_00-59,tanzania,2010.0,-0.86781245470047,0.0,22.0,-4.550193786621094,38.33457946777344
tanzania_2010_00-60,tanzania,2010.0,-0.9107484817504883,0.0,22.0,-4.69937801361084,38.40349578857422
tanzania_2010_00-61,tanzania,2010.0,-0.5721169114112854,0.0,21.0,-5.007818222045898,38.52250671386719
tanzania_2010_00-62,tanzania,2010.0,-0.737001895904541,0.0,21.0,-5.035908222198486,38.3621940612793
tanzania_2010_00-63,tanzania,2010.0,-0.582899808883667,0.0,21.0,-5.2742018699646,38.85946273803711
tanzania_2010_00-64,tanzania,2010.0,-0.6991530060768127,0.0,21.0,-4.808753967285156,38.76535415649414
tanzania_2010_00-65,tanzania,2010.0,-0.6993110775947571,0.0,21.0,-4.953793048858643,39.12405776977539
tanzania_2010_00-66,tanzania,2010.0,-0.04241057112812996,0.0,20.0,-5.157174110412598,39.00693893432617
tanzania_2010_00-67,tanzania,2010.0,-0.2931917905807495,0.0,19.0,-5.3465471267700195,38.54127502441406
tanzania_2010_00-68,tanzania,2010.0,-0.5186245441436768,0.0,19.0,-5.440774917602539,38.285057067871094
tanzania_2010_00-69,tanzania,2010.0,-0.10865995287895203,0.0,20.0,-5.758864879608154,38.3084716796875
tanzania_2010_00-70,tanzania,2010.0,-0.9398043155670166,0.0,19.0,-5.351018905639648,37.922786712646484
tanzania_2010_00-71,tanzania,2010.0,0.1860303282737732,1.0,21.0,-6.815174102783203,37.00067138671875
