index,country,year,wealth_index,is_urban,households,latitude,longitude
togo_2013_00-0,togo,2013.0,1.2409207820892334,1.0,28.0,6.132719039916992,1.2197940349578857
togo_2013_00-1,togo,2013.0,1.225894808769226,1.0,29.0,6.190755844116211,1.3771950006484985
togo_2013_00-2,togo,2013.0,1.1072221994400024,1.0,29.0,6.144871234893799,1.2870700359344482
togo_2013_00-3,togo,2013.0,-0.4345901906490326,0.0,29.0,10.01877498626709,0.9900370240211487
togo_2013_00-4,togo,2013.0,1.1037894487380981,1.0,28.0,6.259177207946777,1.204893946647644
togo_2013_00-5,togo,2013.0,-0.03390215337276459,0.0,29.0,7.425703048706055,0.8615639805793762
togo_2013_00-6,togo,2013.0,1.3399405479431152,1.0,28.0,6.181958198547363,1.2317999601364136
togo_2013_00-7,togo,2013.0,-0.3607153296470642,0.0,30.0,10.652327537536621,0.25415199995040894
togo_2013_00-8,togo,2013.0,0.33561667799949646,0.0,29.0,6.8431501388549805,0.5988860130310059
togo_2013_00-9,togo,2013.0,1.073456048965454,1.0,26.0,6.165505886077881,1.2929669618606567
togo_2013_00-10,togo,2013.0,-0.6525188088417053,0.0,29.0,6.499863147735596,1.4773739576339722
togo_2013_00-11,togo,2013.0,-0.266602098941803,0.0,30.0,8.045369148254395,0.8646529912948608
togo_2013_00-12,togo,2013.0,-0.098628468811512,0.0,27.0,7.081201076507568,0.6985909938812256
togo_2013_00-13,togo,2013.0,0.6245704293251038,1.0,30.0,11.097579956054688,0.015057000331580639
togo_2013_00-14,togo,2013.0,-0.4212579131126404,0.0,30.0,10.245490074157715,0.8870260119438171
togo_2013_00-15,togo,2013.0,-0.43483951687812805,0.0,29.0,6.890304088592529,0.8504760265350342
togo_2013_00-16,togo,2013.0,1.1275577545166016,0.0,29.0,6.276244163513184,1.167225956916809
togo_2013_00-17,togo,2013.0,-0.7694685459136963,0.0,30.0,7.204394817352295,1.4156320095062256
togo_2013_00-18,togo,2013.0,0.20343737304210663,0.0,27.0,6.497284889221191,1.612826943397522
togo_2013_00-19,togo,2013.0,1.1864478588104248,1.0,25.0,6.1943359375,1.1692359447479248
togo_2013_00-20,togo,2013.0,1.284313678741455,1.0,29.0,6.213159084320068,1.2354090213775635
togo_2013_00-21,togo,2013.0,-0.035902731120586395,0.0,29.0,8.1839599609375,1.1171029806137085
togo_2013_00-22,togo,2013.0,-0.5578253865242004,0.0,29.0,6.835350036621094,1.241811990737915
togo_2013_00-23,togo,2013.0,-0.3698972761631012,0.0,30.0,10.650402069091797,0.34941500425338745
togo_2013_00-24,togo,2013.0,0.3555337190628052,0.0,30.0,6.311550140380859,1.1721739768981934
togo_2013_00-25,togo,2013.0,1.1890206336975098,1.0,27.0,6.22699499130249,1.178773045539856
togo_2013_00-26,togo,2013.0,0.5595954060554504,0.0,27.0,7.439093112945557,1.1581530570983887
togo_2013_00-27,togo,2013.0,0.9355698227882385,1.0,29.0,7.5928239822387695,0.6074510216712952
togo_2013_00-28,togo,2013.0,1.0286873579025269,1.0,29.0,6.154253005981445,1.2570099830627441
