index,country,year,wealth_index,is_urban,households,latitude,longitude
zambia_2013_00-0,zambia,2013.0,0.8176907300949097,1.0,24.0,-15.378545761108398,28.230680465698242
zambia_2013_00-1,zambia,2013.0,0.09396547824144363,0.0,23.0,-9.35732364654541,32.71809387207031
zambia_2013_00-2,zambia,2013.0,-0.7551723718643188,0.0,17.0,-11.769604682922363,31.545381546020508
zambia_2013_00-3,zambia,2013.0,-0.21637427806854248,0.0,25.0,-11.890395164489746,31.433185577392578
zambia_2013_00-4,zambia,2013.0,0.34196290373802185,0.0,24.0,-15.334089279174805,28.673147201538086
zambia_2013_00-5,zambia,2013.0,-0.1716640144586563,0.0,22.0,-12.871603965759277,27.87289047241211
zambia_2013_00-6,zambia,2013.0,-0.46008428931236267,0.0,19.0,-17.34282875061035,24.139373779296875
zambia_2013_00-7,zambia,2013.0,1.913025975227356,1.0,24.0,-15.35523509979248,28.251590728759766
zambia_2013_00-8,zambia,2013.0,-0.479279100894928,0.0,23.0,-9.788910865783691,28.75991439819336
zambia_2013_00-9,zambia,2013.0,-0.40397247672080994,0.0,22.0,-16.274648666381836,27.345230102539062
zambia_2013_00-10,zambia,2013.0,0.3083105981349945,1.0,21.0,-12.166101455688477,26.387310028076172
zambia_2013_00-11,zambia,2013.0,2.151334047317505,1.0,24.0,-11.293877601623535,29.517444610595703
zambia_2013_00-12,zambia,2013.0,-0.6306304335594177,0.0,24.0,-14.018001556396484,33.10655975341797
zambia_2013_00-13,zambia,2013.0,-0.5093448758125305,0.0,11.0,-15.050070762634277,27.95823860168457
zambia_2013_00-14,zambia,2013.0,-0.4627811014652252,0.0,23.0,-13.806696891784668,32.54944610595703
zambia_2013_00-15,zambia,2013.0,-0.5597181916236877,0.0,15.0,-11.878232955932617,32.54767608642578
zambia_2013_00-16,zambia,2013.0,1.882001280784607,1.0,21.0,-15.269761085510254,23.14870262145996
zambia_2013_00-17,zambia,2013.0,-0.2549288272857666,0.0,21.0,-13.668682098388672,29.810279846191406
zambia_2013_00-18,zambia,2013.0,-0.42914777994155884,0.0,23.0,-15.097222328186035,27.660823822021484
zambia_2013_00-19,zambia,2013.0,-0.4094611704349518,0.0,21.0,-13.48176383972168,32.828792572021484
zambia_2013_00-20,zambia,2013.0,-0.24217873811721802,0.0,22.0,-12.894282341003418,30.60994529724121
zambia_2013_00-21,zambia,2013.0,0.4099723994731903,1.0,21.0,-13.243380546569824,30.227764129638672
zambia_2013_00-22,zambia,2013.0,-0.45934945344924927,0.0,22.0,-13.539407730102539,28.72357940673828
zambia_2013_00-23,zambia,2013.0,-0.7283677458763123,0.0,18.0,-14.521270751953125,22.76971435546875
zambia_2013_00-24,zambia,2013.0,-0.4166169762611389,0.0,22.0,-9.01856517791748,29.039100646972656
zambia_2013_00-25,zambia,2013.0,0.013036050833761692,0.0,15.0,-13.033332824707031,28.487218856811523
zambia_2013_00-26,zambia,2013.0,-0.5820367932319641,0.0,17.0,-12.32155704498291,29.978225708007812
zambia_2013_00-27,zambia,2013.0,-0.5850013494491577,0.0,18.0,-11.452657699584961,24.591903686523438
zambia_2013_00-28,zambia,2013.0,-0.8400499224662781,0.0,23.0,-10.039594650268555,29.283077239990234
zambia_2013_00-29,zambia,2013.0,2.2736029624938965,1.0,23.0,-15.42520523071289,28.291704177856445
zambia_2013_00-30,zambia,2013.0,-0.7034064531326294,0.0,18.0,-11.001514434814453,29.01227378845215
zambia_2013_00-31,zambia,2013.0,1.286926507949829,1.0,19.0,-15.40026569366455,28.365957260131836
zambia_2013_00-32,zambia,2013.0,0.16774103045463562,0.0,24.0,-13.58024787902832,27.64214324951172
zambia_2013_00-33,zambia,2013.0,2.003546714782715,1.0,23.0,-12.932344436645508,28.61993980407715
zambia_2013_00-34,zambia,2013.0,1.496901273727417,1.0,24.0,-15.379315376281738,28.23560333251953
zambia_2013_00-35,zambia,2013.0,-0.1757105141878128,0.0,23.0,-15.574226379394531,28.35494613647461
zambia_2013_00-36,zambia,2013.0,-0.10703080147504807,1.0,24.0,-10.151119232177734,32.64580535888672
