index,country,year,wealth_index,is_urban,households,latitude,longitude,is_poorest
lesotho_2014_00-254,lesotho,2014.0,0.9835581183433532,1.0,24.0,-28.90904235839844,27.9365291595459,0
burkina_faso_2010_00-162,burkina_faso,2010.0,-0.6040686964988708,0.0,25.0,11.163128852844238,-3.322227954864502,1
mali_2012_00-381,mali,2012.0,-0.3718231618404388,0.0,25.0,11.877264022827148,-6.966145992279053,0
lesotho_2009_00-237,lesotho,2009.0,-0.1107021868228912,0.0,23.0,-29.518770217895508,28.033241271972656,0
zimbabwe_2010_00-125,zimbabwe,2010.0,-0.7496855854988098,0.0,28.0,-16.21761131286621,30.61045455932617,1
nigeria_2013_00-132,nigeria,2013.0,-0.5408329367637634,0.0,45.0,10.078749656677246,6.015912055969238,1
malawi_2014_00-127,malawi,2014.0,0.8118830919265747,1.0,25.0,-15.393400192260742,35.33173751831055,0
nigeria_2013_00-690,nigeria,2013.0,0.9866470098495485,1.0,45.0,6.770333766937256,6.3500847816467285,0
burkina_faso_2010_00-10,burkina_faso,2010.0,-0.2957169413566589,0.0,26.0,12.257957458496094,-1.5807249546051023,0
malawi_2015_00-274,malawi,2015.0,-0.6367446780204773,0.0,33.0,-13.628861427307127,33.680355072021484,1
mali_2015_00-161,mali,2015.0,1.9398837089538572,1.0,24.0,12.636964797973633,-8.036490440368652,0
burkina_faso_2014_00-112,burkina_faso,2014.0,-0.2259085923433303,0.0,26.0,11.807313919067385,-1.803462028503418,0
malawi_2015_00-5,malawi,2015.0,-0.4903615415096283,0.0,32.0,-11.35562801361084,33.38094711303711,1
malawi_2015_00-514,malawi,2015.0,-0.1935782432556152,0.0,32.0,-15.774680137634276,35.134822845458984,0
rwanda_2014_00-319,rwanda,2014.0,-0.3175725638866424,0.0,25.0,-2.4724369049072266,29.76741981506348,0
sierra_leone_2013_00-345,sierra_leone,2013.0,0.7174652814865112,1.0,30.0,7.878921985626221,-11.190850257873535,0
lesotho_2009_00-27,lesotho,2009.0,0.3958465456962585,1.0,23.0,-29.82931327819824,27.21294403076172,0
burkina_faso_2014_00-212,burkina_faso,2014.0,-0.8332284092903137,0.0,26.0,14.324005126953123,-0.2751840054988861,1
malawi_2015_00-206,malawi,2015.0,-0.4054773151874542,0.0,33.0,-14.772695541381836,34.90314102172852,0
malawi_2015_00-271,malawi,2015.0,-0.2845506966114044,0.0,32.0,-11.202370643615724,33.95091247558594,0
ethiopia_2016_03-4,ethiopia,2016.0,-0.4692757427692413,0.0,25.0,5.848372936248779,43.52798080444336,0
mozambique_2009_00-49,mozambique,2009.0,-0.2724916338920593,0.0,21.0,-14.162050247192385,39.20870971679688,0
benin_2012_00-423,benin,2012.0,1.6418685913085938,1.0,23.0,6.386361122131348,2.4405808448791504,0
malawi_2010_00-144,malawi,2010.0,-0.6619240045547485,0.0,32.0,-15.906036376953123,35.76905059814453,1
kenya_2014_17-6,kenya,2014.0,-0.2867025732994079,1.0,22.0,-1.055966019630432,34.446678161621094,0
cameroon_2011_00-126,cameroon,2011.0,1.1509183645248413,1.0,20.0,3.875945091247559,11.517525672912598,0
zimbabwe_2015_00-389,zimbabwe,2015.0,1.8467841148376465,1.0,24.0,-17.878082275390625,31.033348083496094,0
ethiopia_2010_00-509,ethiopia,2010.0,-1.130726337432861,0.0,28.0,8.2582426071167,35.45568084716797,1
kenya_2014_00-18,kenya,2014.0,0.9897681474685668,1.0,17.0,-1.2626689672470093,36.90116882324219,0
uganda_2009_00-159,uganda,2009.0,-0.7836986780166626,0.0,26.0,3.231666088104248,30.88766860961914,1
zimbabwe_2015_00-187,zimbabwe,2015.0,1.5099692344665527,1.0,24.0,-20.083646774291992,30.80764579772949,0
benin_2012_00-37,benin,2012.0,-0.5646140575408936,0.0,22.0,11.584071159362791,3.515022754669189,1
angola_2011_00-125,angola,2011.0,1.383258819580078,1.0,37.0,-17.069589614868164,15.705330848693848,0
cameroon_2011_00-223,cameroon,2011.0,-0.2687170207500458,0.0,27.0,6.056517124176025,10.460515975952148,0
malawi_2014_00-111,malawi,2014.0,-0.432599663734436,0.0,25.0,-15.886661529541016,35.135128021240234,0
ethiopia_2010_00-5,ethiopia,2010.0,-1.042003154754639,0.0,27.0,10.274364471435549,34.932796478271484,1
zambia_2013_00-455,zambia,2013.0,1.958004117012024,1.0,25.0,-14.467830657958984,28.459232330322266,0
benin_2012_00-493,benin,2012.0,-0.3364224731922149,0.0,24.0,6.609157562255859,1.6326767206192017,0
uganda_2011_00-249,uganda,2011.0,-1.052656888961792,0.0,23.0,3.630393028259277,33.91653060913086,1
ethiopia_2010_00-280,ethiopia,2010.0,-0.9933491945266724,0.0,29.0,13.182537078857422,39.36835479736328,1
kenya_2015_00-49,kenya,2015.0,0.7214825749397278,1.0,27.0,-4.292095184326172,39.54676055908203,0
uganda_2009_00-75,uganda,2009.0,-0.7915853261947632,0.0,26.0,0.992506980895996,34.252525329589844,1
mozambique_2009_00-119,mozambique,2009.0,0.8173986077308655,1.0,22.0,-25.008529663085938,33.127281188964844,0
mali_2012_00-323,mali,2012.0,-0.1145984679460525,0.0,24.0,14.53998565673828,-4.044672012329102,0
ethiopia_2016_10-40,ethiopia,2016.0,-0.8592495322227478,0.0,24.0,7.63430118560791,39.484474182128906,1
mozambique_2011_00-578,mozambique,2011.0,1.9951858520507808,1.0,20.0,-25.924854278564453,32.61013412475586,0
rwanda_2014_00-184,rwanda,2014.0,-0.4815963804721832,0.0,26.0,-1.9151029586791992,30.331687927246094,0
uganda_2011_00-189,uganda,2011.0,-0.3983078896999359,0.0,18.0,0.9007539749145508,33.940025329589844,0
benin_2012_00-200,benin,2012.0,-0.437010258436203,0.0,24.0,10.070585250854492,2.685784101486206,0
kenya_2014_13-34,kenya,2014.0,-0.39101442694664,0.0,23.0,-2.178420066833496,37.96767425537109,0
tanzania_2015_00-98,tanzania,2015.0,-0.4669722616672516,0.0,19.0,-6.939022064208984,37.61325454711914,0
ethiopia_2010_00-325,ethiopia,2010.0,-0.8467589020729065,0.0,30.0,11.23781967163086,39.43278503417969,1
malawi_2015_00-822,malawi,2015.0,-0.495276927947998,0.0,31.0,-13.9056978225708,33.2025260925293,1
sierra_leone_2013_00-225,sierra_leone,2013.0,0.8880900144577026,1.0,30.0,7.963272094726562,-11.73249626159668,0
mozambique_2011_00-131,mozambique,2011.0,-0.8289889097213745,0.0,25.0,-13.973241806030272,40.23160171508789,1
tanzania_2015_00-354,tanzania,2015.0,-0.5218892693519592,0.0,22.0,-3.657231092453003,32.61602020263672,1
tanzania_2015_00-157,tanzania,2015.0,1.198836088180542,1.0,18.0,-6.886579990386963,39.226470947265625,0
angola_2015_00-159,angola,2015.0,0.7618786692619324,1.0,22.0,-6.136622905731201,12.37994384765625,0
lesotho_2009_00-383,lesotho,2009.0,-0.1843854784965515,0.0,20.0,-29.249914169311523,27.794677734375,0
malawi_2010_00-549,malawi,2010.0,-0.2485351711511612,1.0,19.0,-11.891042709350586,33.595455169677734,0
malawi_2015_00-258,malawi,2015.0,-0.4431398212909698,0.0,31.0,-14.794551849365234,35.106285095214844,0
nigeria_2010_00-32,nigeria,2010.0,-0.7718853950500488,0.0,26.0,10.236502647399902,6.85339879989624,1
mali_2012_00-305,mali,2012.0,-0.2772698998451233,0.0,26.0,13.120156288146973,-5.043677806854248,0
ghana_2016_00-114,ghana,2016.0,1.6909747123718262,1.0,29.0,6.706550121307373,-1.62193500995636,0
ethiopia_2010_00-68,ethiopia,2010.0,-1.2009594440460205,0.0,25.0,9.534667015075684,40.12901306152344,1
tanzania_2015_00-164,tanzania,2015.0,0.4672308266162872,0.0,20.0,-10.307358741760254,39.29937744140625,0
tanzania_2015_00-156,tanzania,2015.0,0.7710593342781067,1.0,19.0,-6.919548988342285,39.23509216308594,0
ghana_2014_00-393,ghana,2014.0,0.5489547848701477,0.0,31.0,6.529877185821533,0.6959080100059509,0
malawi_2015_00-48,malawi,2015.0,0.0118084130808711,0.0,31.0,-13.294065475463867,33.51787185668945,0
ethiopia_2016_01-47,ethiopia,2016.0,-0.9549490809440612,0.0,28.0,8.211901664733887,34.45101547241211,1
guinea_2012_00-152,guinea,2012.0,-0.6730514168739319,0.0,24.0,12.04720973968506,-10.274078369140623,1
